query,parallelism,optimization,count,avg_latency_ms,max_latency_ms,elapsed_ms,throughput_events_per_sec
Q1,1,noopt,3600,22.87,182,84055,42.83
Q2,1,noopt,3600,41.32,222,84065,42.82
Q3,1,noopt,3600,45.56,226,83973,42.87
Q1,2,noopt,3600,86.26,244,62030,58.04
Q3,2,noopt,3600,151.06,360,62023,58.04
Q2,2,noopt,3600,145.64,361,62022,58.04
Q1,3,noopt,3600,83.02,254,38877,92.60
Q3,3,noopt,3600,158.07,440,38873,92.61
Q2,3,noopt,3600,151.95,440,38893,92.56
Q1,4,noopt,3600,95.58,379,34950,103.00
Q3,4,noopt,3600,164.03,488,34915,103.11
Q2,4,noopt,3600,159.49,485,34927,103.07
Q1,5,noopt,3600,106.62,430,36172,99.52
Q3,5,noopt,3600,196.56,586,36113,99.69
Q2,5,noopt,3600,190.95,570,36124,99.66
Q1,6,noopt,3600,120.98,464,32935,109.31
Q2,6,noopt,3600,198.79,704,32875,109.51
Q3,6,noopt,3600,206.40,715,32875,109.51
Q1,7,noopt,3600,127.01,622,36713,98.06
Q2,7,noopt,3600,230.61,791,36679,98.15
Q3,7,noopt,3600,237.66,795,36678,98.15
Q1,8,noopt,3600,126.21,488,30291,118.85
Q3,8,noopt,3600,208.14,670,30225,119.11
Q2,8,noopt,3600,198.22,663,30252,119.00
Q1,1,opt-ker,3600,97.52,214,355910,10.11
Q2,1,opt-ker,3600,192.45,332,355990,10.11
Q3,1,opt-ker,3600,195.88,337,355977,10.11
Q1,2,opt-ker,3600,329.03,1058,247551,14.54
Q2,2,opt-ker,3600,574.41,1363,247566,14.54
Q3,2,opt-ker,3600,583.66,1353,247565,14.54
Q1,3,opt-ker,3600,224.22,766,143412,25.10
Q3,3,opt-ker,3600,502.07,1266,143423,25.10
Q2,3,opt-ker,3600,491.35,1268,143456,25.09
Q1,4,opt-ker,3600,221.47,789,173786,20.72
Q3,4,opt-ker,3600,501.97,1294,173815,20.71
Q2,4,opt-ker,3600,496.09,1294,173814,20.71
Q1,5,opt-ker,3600,347.25,1475,159652,22.55
Q2,5,opt-ker,3600,732.37,2229,159606,22.56
Q3,5,opt-ker,3600,735.17,2234,159605,22.56
Q1,6,opt-ker,3600,241.82,1111,123455,29.16
Q2,6,opt-ker,3600,566.71,1464,123680,29.11
Q3,6,opt-ker,3600,571.11,1468,123618,29.12
Q1,7,opt-ker,3600,340.20,1628,143458,25.09
Q2,7,opt-ker,3600,776.75,2381,143761,25.04
Q3,7,opt-ker,3600,781.26,2378,143761,25.04
Q1,8,opt-ker,3600,263.02,1807,125019,28.80
Q3,8,opt-ker,3600,549.05,2417,125091,28.78
Q2,8,opt-ker,3600,545.11,2419,125153,28.76
Q1,1,opt,3600,21.27,81,78280,45.99
Q2,1,opt,3600,38.07,113,78287,45.98
Q3,1,opt,3600,42.28,119,78302,45.98
Q1,2,opt,3600,96.01,293,59009,61.01
Q2,2,opt,3600,152.52,538,59012,61.00
Q3,2,opt,3600,159.20,536,59004,61.01
Q1,3,opt,3600,87.87,268,39851,90.34
Q2,3,opt,3600,154.34,441,39823,90.40
Q3,3,opt,3600,160.99,447,39813,90.42
Q1,4,opt,3600,76.78,247,31562,114.06
Q3,4,opt,3600,139.92,445,31527,114.19
Q2,4,opt,3600,135.52,444,31538,114.15
Q1,5,opt,3600,106.79,445,34285,105.00
Q3,5,opt,3600,191.02,595,34210,105.23
Q2,5,opt,3600,185.50,586,34232,105.16
Q1,6,opt,3600,102.89,395,29813,120.75
Q3,6,opt,3600,180.36,470,29789,120.85
Q2,6,opt,3600,172.74,432,29806,120.78
Q1,7,opt,3600,122.83,457,32912,109.38
Q2,7,opt,3600,214.97,738,32887,109.47
Q3,7,opt,3600,222.98,739,32897,109.43
Q1,8,opt,3600,117.97,440,28611,125.83
Q2,8,opt,3600,190.47,624,28562,126.04
Q3,8,opt,3600,198.46,623,28498,126.32